cusec,participacion,primero,primero_porc,segundo,segundo_porc,tercero,tercero_porc,cuarto,cuarto_porc,psoe_dif,pp_dif,podemos_dif,vox_dif
601501001,61.29,PP,40.96,UxEx,24.1,VOX,18.37,PSOE,10.99,-15.86,0.01,10.45,8.58
601501002,63.79,PP,52.05,UxEx,15.66,VOX,14.94,PSOE,13.49,-16.25,10.8,3.67,4.63
601501003,54.91,PP,40.22,UxEx,22.86,VOX,15.6,PSOE,13.63,-18.05,-0.3,11.65,05.04
601501005,45.62,PP,33.02,UxEx,26.27,VOX,18.39,PSOE,17.82,-18.51,2.51,9.34,9.22
601501008,60.51,PP,40.13,UxEx,24.7,VOX,16.64,PSOE,12.21,-10.86,2.13,6.3,4.51
601501010,73.88,PP,58.19,VOX,19.63,UxEx,12.31,PSOE,6.97,-8.19,1.86,4.39,5.83
601501011,74,PP,61.82,VOX,21.31,PSOE,7.27,UxEx,5.79,-7.07,-1.07,1.14,7.98
601501012,76.39,PP,62.97,VOX,21.41,PSOE,7.81,UxEx,05.04,-6.87,01.03,02.05,4.74
601502001,51.19,PP,42.95,VOX,21.86,PSOE,17.15,UxEx,13.6,-15.65,04.05,6.24,9.89
601502002,40,VOX,30.15,PP,28.35,PSOE,25.52,UxEx,10.57,-16.47,2.84,2.9,14.57
601502004,48.61,PP,34.88,PSOE,25.71,VOX,22.87,UxEx,11.76,-13.19,2.46,5.94,10.34
601502005,62.89,PP,49.31,VOX,18.63,UxEx,14.81,PSOE,12.38,-11.68,0.27,5.28,10.34
601502006,58.81,PP,44.54,VOX,22.98,PSOE,15.66,UxEx,12.71,-16.23,3.25,07.02,11.73
601503001,58.1,PP,45.11,PSOE,19.81,VOX,16.87,UxEx,12.58,-12.41,2.36,6.26,5.97
601503002,51.97,PP,39.71,VOX,27.43,PSOE,17,UxEx,11.71,-12.8,0.37,4.69,12.33
601503003,58.06,PP,38.19,VOX,28.56,PSOE,13.21,UxEx,13.13,-13.4,0.72,9.68,12.19
601503004,44.27,PP,30.69,PSOE,27.9,VOX,27.47,UxEx,11.16,-13.62,1.95,5.37,16.49
601503005,48.42,PP,38.26,PSOE,21.37,VOX,21.37,UxEx,12.93,-16.01,05.08,7.32,7.12
601503006,55.73,PP,46.2,VOX,21.38,PSOE,18.48,UxEx,8.7,-9.55,-0.34,5.24,9.27
