cusec,participacion,primero,primero_porc,segundo,segundo_porc,tercero,tercero_porc,cuarto,cuarto_porc,psoe_dif,pp_dif,podemos_dif,vox_dif
1003701001,60.75,PP,39.69,UxEx,27.67,PSOE,14.89,VOX,13.36,-7.98,-2.56,9.84,4.25
1003701002,59.83,PP,31.85,UxEx,28.87,PSOE,22.29,VOX,10.62,-12.69,8.46,5.69,2.25
1003701003,71.64,PP,48.27,UxEx,15.88,VOX,14.32,PSOE,14.23,-12.73,5.62,2.77,6.72
1003701004,64.32,PP,42.98,VOX,21.01,UxEx,15.76,PSOE,14.58,-10.78,3.53,2.97,8.11
1003701005,65.79,PP,38.79,PSOE,21.97,UxEx,20.4,VOX,15.47,-11.13,5.69,4.2,4.67
1003701006,57.42,PP,37.91,PSOE,21.88,VOX,21.5,UxEx,10.75,-12.89,4.89,2.93,8.74
1003701007,58.8,PP,41.3,UxEx,20.11,PSOE,19.29,VOX,12.77,-8.3,4.43,-0.84,5.34
1003701008,60.12,PP,48.38,PSOE,18.23,UxEx,14.14,VOX,13.12,-11.11,8.6,3.69,0.22
1003701009,60.22,PP,37.89,PSOE,24.22,VOX,16.56,UxEx,16.15,-10.97,1.71,8.2,6.62
1003701010,67.45,PP,39.58,VOX,22.44,PSOE,17.31,UxEx,14.31,-10.95,6.51,5.29,5.21
1003701011,66.12,PP,43.97,PSOE,17.89,VOX,17.23,UxEx,15.63,-10.36,4.25,5.2,06.05
1003701012,55.72,PP,35.66,PSOE,25.26,VOX,21.1,UxEx,12.78,-15.15,6.15,6.53,9.62
1003701013,71.5,PP,51.46,PSOE,15.18,VOX,14.93,UxEx,11.84,-11.87,7.74,3.55,4.81
1003701014,65.59,PP,39.93,VOX,19.31,PSOE,18.36,UxEx,15.38,-10.63,9.71,4.69,4.2
1003701015,72.83,PP,51.6,UxEx,15.78,VOX,15.78,PSOE,12.32,-12.89,7.33,6.3,4.88
1003701016,72.45,PP,51.24,VOX,15.79,PSOE,14.4,UxEx,11.46,-13.83,08.01,2.43,4.66
1003701017,66.71,PP,46.07,VOX,20.6,PSOE,15.22,UxEx,12.63,-11.06,05.09,05.06,6.68
1003702001,68.27,PP,53.02,UxEx,18.96,VOX,12.09,PSOE,10.44,-12.78,3.15,06.03,4.44
1003702002,68.58,PP,53.25,UxEx,17.21,VOX,13.31,PSOE,12.5,-11.01,4.5,06.08,2.49
1003702003,65.35,PP,42.03,PSOE,20.43,UxEx,18.27,VOX,11.79,-8.69,1.46,7.16,4.89
1003702004,64.23,PP,44.56,PSOE,19.63,UxEx,18.34,VOX,13.32,-12.98,6.49,5.98,5.13
1003702005,60.65,PP,45,UxEx,22.86,VOX,14.05,PSOE,13.81,-13.89,2.66,9.57,5.49
1003702006,67.09,PP,44.42,PSOE,19.77,UxEx,17.75,VOX,10.63,-9.69,5.98,4.55,3.98
1003702007,67.18,PP,55.76,UxEx,18.43,VOX,14.06,PSOE,8.53,-11.71,03.05,10.19,6.53
1003702008,68.92,PP,64.01,VOX,14.01,PSOE,10.56,UxEx,8.19,-9.56,4.87,3.88,4.15
1003702009,78.6,PP,70.35,UxEx,9.65,PSOE,8.94,VOX,8.71,-8.29,5.54,2.37,1.91
1003702010,79.67,PP,59.76,VOX,15.74,PSOE,10.98,UxEx,10.86,-7.94,3,2.3,6.28
1003702011,77.66,PP,60.93,VOX,14.81,UxEx,11.55,PSOE,8.55,-9.83,06.07,4.43,3.55
1003702012,77.36,PP,67.38,PSOE,11.64,VOX,10.16,UxEx,8.2,-9.14,6.57,3.81,1.38
1003702013,76.94,PP,57.58,VOX,14.18,UxEx,13.69,PSOE,10.6,-6.64,5.46,3.35,3.3
1003703001,62.7,PP,49.18,PSOE,16.21,UxEx,15.67,VOX,12.26,-11.88,3.69,5.36,3.75
1003703002,70.38,PP,58.22,UxEx,13.93,PSOE,12.1,VOX,11.87,-5.95,1.15,3.69,7.24
1003703003,68.76,PP,66.4,VOX,14.42,PSOE,9.35,UxEx,6.81,-5.26,2.17,2.49,2.35
1003703004,76.09,PP,66.6,VOX,15.26,PSOE,8.66,UxEx,5.36,-5.57,0.27,1.35,04.04
1003703005,76.09,PP,66.15,VOX,14.31,PSOE,9.48,UxEx,7.54,-6.12,2.95,3.54,3.31
1003703006,74.71,PP,67.14,VOX,13.5,PSOE,10.3,UxEx,6.93,-5.31,3.17,1.73,4.25
1003703007,69.82,PP,54.84,UxEx,14.62,PSOE,13.98,VOX,12.47,-11.87,4.41,6.29,4.78
1003704001,63.83,PP,54.72,PSOE,17.91,VOX,12.2,UxEx,11.81,-9.87,7.7,04.07,03.07
1003704002,70.51,PP,58.12,PSOE,19.23,VOX,9.62,UxEx,8.55,-7.96,2.42,03.07,4.58
1003704003,71.63,PP,57.95,PSOE,14.42,VOX,13.68,UxEx,10.35,-7.64,6.11,3.46,2.56
1003704004,70.63,PP,52.03,VOX,15.73,PSOE,13.24,UxEx,12.84,-15.58,9.9,3.33,6.3
1003704005,64.14,PP,52.91,UxEx,16.86,PSOE,15.12,VOX,11.63,-10.52,05.05,9.45,1.94
1003704006,63.38,PP,55.95,VOX,14.92,PSOE,13.14,UxEx,10.66,-9.59,1.58,5.42,5.13
1003704007,63.48,PP,41.08,PSOE,24.41,UxEx,15.96,VOX,13.15,-16.05,05.02,8.2,5.39
1003704008,66.73,PP,53.1,PSOE,20.65,VOX,11.21,UxEx,10.47,-6.14,8.5,3.88,1.11
1003704009,66.97,PP,49.66,PSOE,15.59,VOX,14.76,UxEx,14.34,-13.63,6.89,4.55,6.33
1003704010,59.42,PP,52.94,PSOE,20.92,UxEx,14.38,VOX,8.5,-15.15,12.47,7.34,-1.47
1003704011,66.57,PP,47.78,PSOE,22.6,VOX,13.45,UxEx,12.45,-10.87,8.67,3.85,3.1
1003704012,65.99,PP,48.36,PSOE,21.45,VOX,13.27,UxEx,12.36,-11.14,4.53,5.56,6.78
1003704013,81.68,PP,68.18,VOX,15.38,PSOE,6.47,UxEx,5.94,-8.4,03.05,1.87,5.29
1003704014,68.47,PP,56.01,PSOE,14.59,VOX,13.09,UxEx,10.52,-6.14,2.8,2.83,2.83
1003704015,74.39,PP,53.05,PSOE,22.08,UxEx,13.96,VOX,8.12,-15.82,07.08,09.07,2.25
1003704016,75.87,PP,59.93,UxEx,13.16,PSOE,12.59,VOX,9.7,-9.61,7.82,03.03,1.14
1003704017,75.36,PP,52.59,PSOE,17.4,VOX,13.49,UxEx,12.29,-9.22,6.4,3.75,3.54
1003704018,76.67,PP,52.3,UxEx,17.47,PSOE,15.9,VOX,9,-11.79,13.35,6,-0.61
1003704019,70.64,PP,50.04,PSOE,16.79,UxEx,15.66,VOX,11.33,-11.24,9.17,4.35,2.28
1003704020,70.85,PP,52.14,VOX,16.88,UxEx,11.96,PSOE,11.96,-14.42,5.26,5.37,8.49
1003704021,73.55,PP,57.14,PSOE,15.18,VOX,12.39,UxEx,10.71,-13.2,4.62,5.9,3.92
1003704022,76.9,PP,62.43,UxEx,11.89,PSOE,10.25,VOX,9.7,-10.36,5.8,2.96,2.35
