RefCat,AnnoConstruccion,Direccion
6720402PD7062B,0,LEBRATOS LOS
6720403PD7062B,1961,LEBRATOS LOS
6720406PD7062B,0,LEBRATOS LOS
6918907PD7061H,2005,LEBRATOS LOS
6920903PD7062B,2005,LEBRATOS LOS
6920902PD7062B,2005,LEBRATOS LOS
6620301PD7062B,2005,LEBRATOS LOS
6918901PD7061H,2005,LEBRATOS LOS
6918908PD7061H,2005,LEBRATOS LOS
1593102PC8919D,1984,ALCORNOQUILLO
1692401PC8919D,1982,ALCORNOQUILLO
2145505PD8224E,1984,CERROVERDE
0999212PC8909H,1995,ALCORNOQUILLO
1689103PD8118H,1981,BOTOA
1692402PC8919D,2008,ALCORNOQUILLO
0993301PD8109D,1984,BOTOA
0993303PD8109D,1983,BOTOA
1793709PD8119D,1978,BOTOA
1793710PD8119D,2005,BOTOA
1982718PD8118B,2005,BOTOA
1982723PD8118B,2003,BOTOA
1389409PD8118G,2005,BOTOA
1389410PD8118G,0,BOTOA
1389411PD8118G,0,BOTOA
1288604PD8118G,0,PARCELACION BOTOA AR-4
1690901PD8109F,1984,BOTOA
1690902PD8109F,2005,BOTOA
1792204PD8119B,1998,BOTOA
1792209PD8119B,1977,BOTOA
1792211PD8119B,1983,BOTOA
1792203PD8119B,1998,BOTOA
1792208PD8119B,2005,BOTOA
1792212PD8119B,2005,BOTOA
2239306PD8223G,2016,CORCHITO EL
2239313PD8223G,2005,CORCHITO EL
2445925PD8224E,1998,CERROVERDE
2445916PD8224E,2005,CERROVERDE
2445920PD8224E,0,CERROVERDE
2445930PD8224E,2005,CERROVERDE
7192104PC7979S,1982,DEHE CAL SEC VEG
7092107PC7979S,2006,DEHE CAL SEC VEG
9032701PD7093A,0,ROZAS LAS AR-11
9032713PD7093A,0,ROZAS LAS AR-11
9032716PD7093A,0,ROZAS LAS AR-11
9032719PD7093A,1979,ROZAS LAS
9032717PD7093A,0,ROZAS LAS AR-11
9032718PD7093A,0,ROZAS LAS AR-11
9032720PD7093A,0,ROZAS LAS AR-11
9032721PD7093A,0,ROZAS LAS AR-11
9032723PD7093A,0,ROZAS LAS AR-11
9032722PD7093A,0,ROZAS LAS AR-11
9032730PD7093A,0,ROZAS LAS AR-11
2145508PD8224E,1984,CERROVERDE
5529301PD7052H,0,FINCA BANASTA
5530501PD7053B,0,FINCA BANASTA
5531501PD7053B,0,FINCA BANASTA
5535401PD7053F,0,FINCA BANASTA
5630602PD7053B,0,FINCA BANASTA
5629101PD7052H,0,FINCA BANASTA
5629102PD7052H,0,FINCA BANASTA
5631201PD7053B,0,FINCA BANASTA
5632301PD7053D,0,FINCA BANASTA
5632401PD7053D,0,FINCA BANASTA
5632501PD7053D,0,FINCA BANASTA
5632502PD7053D,0,FINCA BANASTA
5633601PD7053D,0,FINCA BANASTA
5633701PD7053D,0,FINCA BANASTA
5633702PD7053D,0,FINCA BANASTA
5633703PD7053D,0,FINCA BANASTA
5733501PD7053D,0,FINCA BANASTA
5733502PD7053D,0,FINCA BANASTA
5733503PD7053D,0,FINCA BANASTA
5733505PD7053D,0,FINCA BANASTA
5733506PD7053D,0,FINCA BANASTA
5734101PD7053D,0,FINCA BANASTA
5728401PD7052H,0,FINCA BANASTA
5729502PD7052H,0,FINCA BANASTA
5828401PD7052H,0,FINCA BANASTA
5828402PD7052H,0,FINCA BANASTA
5828403PD7052H,0,FINCA BANASTA
5828404PD7052H,0,FINCA BANASTA
5828407PD7052H,0,FINCA BANASTA
5828405PD7052H,0,FINCA BANASTA
5828406PD7052H,0,FINCA BANASTA
5828408PD7052H,0,FINCA BANASTA
5828409PD7052H,0,FINCA BANASTA
5928301PD7052H,0,FINCA BANASTA
5928302PD7052H,0,FINCA BANASTA
5928303PD7052H,0,FINCA BANASTA
5929407PD7052H,0,FINCA BANASTA
5929408PD7052H,0,FINCA BANASTA
5930201PD7053B,0,FINCA BANASTA
5930202PD7053B,0,FINCA BANASTA
6028501PD7062G,0,FINCA BANASTA
6028502PD7062G,0,FINCA BANASTA
6028503PD7062G,0,FINCA BANASTA
6030102PD7063A,0,FINCA BANASTA
6030301PD7063A,0,FINCA BANASTA
6030804PD7063A,0,FINCA BANASTA
6030805PD7063A,0,FINCA BANASTA
